,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Loss_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Loss_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Loss_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,Loss_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Loss_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Loss_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Loss_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Loss_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Loss_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Loss_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Loss_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,Loss_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,Loss_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,Loss_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,Loss_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,Loss_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c1d9720>/train_phase/train_stream/Task000/Exp005
0,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.963,0.7502580499276519,0.11701500315088197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.0996,0.7322422238066792,3.224805939793587,0.0996,0.7318724081851542,3.224805939793587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.0738,0.7313132472336292,3.5026982855796813,0.0996,0.7318724081851542,3.224805939793587,0.0738,0.7309593809768558,3.5026982855796813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.1108,0.7323831049725413,3.704646196961403,0.0996,0.7318724081851542,3.224805939793587,0.0738,0.7309593809768558,3.5026982855796813,0.1108,0.7320263092406094,3.704646196961403,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.1764,0.732523397076875,3.0381434187293053,0.0996,0.7318724081851542,3.224805939793587,0.0738,0.7309593809768558,3.5026982855796813,0.1108,0.7320263092406094,3.704646196961403,0.1764,0.7321681613102555,3.0381434187293053,,,,,,,,,,,,,,,,,,,,,,,
5,0.9661,4.777155241928995,0.11232967026813033,0.9661,4.777517258189619,0.11232967026813033,1.0,0.0011853808537125587,0.021205633878707886,0.9151,9.507271702867001,0.2828855887166535,0.0,0.963,0.749881342984736,0.11701500315088197,0.1298,0.7336221858859062,3.2588671019673345,0.0996,0.7318724081851542,3.224805939793587,0.0738,0.7309593809768558,3.5026982855796813,0.1108,0.7320263092406094,3.704646196961403,0.1764,0.7321681613102555,3.0381434187293053,0.1298,0.7332486589439213,3.2588671019673345,,,,,,,,,,,,,,,,,,,,
6,0.9661,4.777155241928995,0.11232967026813033,0.9703666666666667,4.3917158814147115,0.10091274700054782,0.9375,0.0011081099510192871,0.1576472371816635,0.9236,12.189076198730618,0.24883011481159678,0.0,0.9509,0.7451153099536896,0.16356368080203537,0.9509,0.7454623561352491,0.16356368080203537,0.0996,0.7318724081851542,3.224805939793587,0.0738,0.7309593809768558,3.5026982855796813,0.1108,0.7320263092406094,3.704646196961403,0.1764,0.7321681613102555,3.0381434187293053,0.1298,0.7332486589439213,3.2588671019673345,0.9703666666666667,4.391373775433749,0.10091274700054782,0.0026168162003159523,,,,,,,,,,,,,,,,
7,0.9661,4.777155241928995,0.11232967026813033,0.9703666666666667,4.3917158814147115,0.10091274700054782,0.9375,0.0011081099510192871,0.1576472371816635,0.9236,12.189076198730618,0.24883011481159678,0.0,0.9509,0.7451153099536896,0.16356368080203537,0.9644,0.7341580977663398,0.1148622168849397,0.9644,0.7337958118878305,0.1148622168849397,0.0738,0.7309593809768558,3.5026982855796813,0.1108,0.7320263092406094,3.704646196961403,0.1764,0.7321681613102555,3.0381434187293053,0.1298,0.7332486589439213,3.2588671019673345,0.9703666666666667,4.391373775433749,0.10091274700054782,0.0026168162003159523,,,,,,,,,,,,,,,,
8,0.9661,4.777155241928995,0.11232967026813033,0.9703666666666667,4.3917158814147115,0.10091274700054782,0.9375,0.0011081099510192871,0.1576472371816635,0.9236,12.189076198730618,0.24883011481159678,0.0,0.9509,0.7451153099536896,0.16356368080203537,0.0871,0.7317193546332419,4.240302811264992,0.9644,0.7337958118878305,0.1148622168849397,0.0871,0.7313620280474424,4.240302811264992,0.1108,0.7320263092406094,3.704646196961403,0.1764,0.7321681613102555,3.0381434187293053,0.1298,0.7332486589439213,3.2588671019673345,0.9703666666666667,4.391373775433749,0.10091274700054782,0.0026168162003159523,,,,,,,,,,,,,,,,
9,0.9661,4.777155241928995,0.11232967026813033,0.9703666666666667,4.3917158814147115,0.10091274700054782,0.9375,0.0011081099510192871,0.1576472371816635,0.9236,12.189076198730618,0.24883011481159678,0.0,0.9509,0.7451153099536896,0.16356368080203537,0.1184,0.7347129266709089,5.069810049235821,0.9644,0.7337958118878305,0.1148622168849397,0.0871,0.7313620280474424,4.240302811264992,0.1184,0.7343553910031915,5.069810049235821,0.1764,0.7321681613102555,3.0381434187293053,0.1298,0.7332486589439213,3.2588671019673345,0.9703666666666667,4.391373775433749,0.10091274700054782,0.0026168162003159523,,,,,,,,,,,,,,,,
