Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c9b6980>/train_phase/train_stream/Task000/Exp009
0.206,0.10765333799645305,0.0,0.10735326213762164,0.0,0.10838375985622406,0.0,0.11011538933962584,0.0,0.11252311710268259,0.0,0.11305396724492311,0.0,0.11339613189920783,0.0,0.11280435184016824,0.0,0.10802531288936734,0.0,0.10724169109016657,0.0206,1.113227098248899,0.213,0.5431222780607641,0.213,0.544264336116612,0.25,0.0059016672894358635,0.2332,2.1467591491527855,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.10785278026014566,0.179,0.10768581787124276,0.0,0.11013238783925772,0.0,0.10799906263127923,0.0,0.10781037993729115,0.0,0.10775268916040659,0.0,0.10735483327880502,0.0,0.10986211290583014,0.0,0.11257194774225354,0.0,0.10914730140939355,0.0179,1.1007524500600994,0.213,0.5431222780607641,0.1864,0.547199702821672,0.25,0.005836835131049156,0.2832,2.5341225638985634,0.0,2,0.1864,0.5463369488716125,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.10756002506241202,0.0,0.10755215585231781,0.314,0.10781873995438218,0.0,0.10731140105053782,0.0,0.10849403124302626,0.0,0.11037737177684903,0.0,0.11085686972364783,0.0,0.10952653829008341,0.0,0.10793907195329666,0.0,0.10923836333677173,0.0314,1.0992328929714859,0.213,0.5431222780607641,0.3364,0.5358592057600617,0.25,0.006191551685333252,0.2976,2.291801950894296,0.0,3,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.10708736767992377,0.0,0.1067984732799232,0.0,0.1075208350084722,0.312,0.10719952918589115,0.0,0.11015441780909896,0.0,0.1075907158665359,0.0,0.10717368917539716,0.0,0.10747218411415815,0.0,0.10707987705245614,0.0,0.10710172820836306,0.0312,1.08756267093122,0.213,0.5431222780607641,0.3078,0.5348040480166674,0.125,0.005225205793976784,0.3188,2.028355272952467,0.0,4,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,,,,,,,,,,,,,,,,,,
0.0,0.11527926195412874,0.0,0.11184665514156222,0.0,0.11215264117345214,0.0,0.112748839892447,0.375,0.1104278126731515,0.0,0.11093266122043133,0.0,0.1105240136384964,0.0,0.10962784895673394,0.0,0.10922302212566137,0.0,0.10917214211076498,0.0375,1.1257456238381565,0.213,0.5431222780607641,0.3944,1.0873032943345606,0.25,0.007756667677313089,0.322,2.2417651219293475,0.0,5,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,,,,,,,,,,,,,,,
0.0,0.11819582898169756,0.0,0.11714325193315744,0.0,0.117186333052814,0.0,0.11753411870449781,0.0,0.11851597484201193,0.394,0.11591632198542356,0.0,0.1104962332174182,0.0,0.1148408642038703,0.0,0.11507481895387173,0.0,0.12063488876447082,0.0394,1.1812669127248228,0.213,0.5431222780607641,0.3772,0.5807214803062379,0.375,0.0071975477039813995,0.3318,2.113722085952759,0.0,6,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,0.3772,0.5798128750175238,0.0,,,,,,,,,,,,
0.0,0.12193102110177279,0.0,0.11991333775222301,0.0,0.11897528078407049,0.0,0.1192205660045147,0.0,0.11771725118160248,0.0,0.11991889821365476,0.331,0.10941739520058036,0.0,0.11659845197573304,0.0,0.11929928790777922,0.0,0.11228945199400187,0.0331,1.1914752591401339,0.213,0.5431222780607641,0.3374,0.5647841170430183,0.5,0.006624278146773577,0.304,2.0233819698914886,0.0,7,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,0.3772,0.5798128750175238,0.0,0.3374,0.5637429500930011,0.0,,,,,,,,,
0.0,0.1197221539914608,0.0,0.12144134333357215,0.0,0.1177219208329916,0.0,0.1274036611430347,0.0,0.11962675210088491,0.0,0.11840003309771419,0.0,0.38263848703354597,0.355,0.1234729359857738,0.0,0.12377822073176503,0.0,0.12438221974298358,0.0355,1.494942455086857,0.213,0.5431222780607641,0.3676,0.5476375152356923,0.625,0.007890479173511267,0.3068,1.9950368818826973,0.0,8,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,0.3772,0.5798128750175238,0.0,0.3374,0.5637429500930011,0.0,0.3676,0.54669279884547,0.0,,,,,,
0.0,0.12510646181181073,0.0,0.11885158019140363,0.0,0.11186175514012575,0.0,0.12259256094694138,0.0,0.12055236706510186,0.0,0.12009638035669923,0.0,0.12211346300318837,0.0,0.12314213998615742,0.27,0.12722972687333822,0.0,0.12670916924253106,0.027,1.2332398490980268,0.213,0.5431222780607641,0.3084,0.6100651267915964,0.25,0.009668569080531597,0.3068,2.252111995127052,0.0,9,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,0.3772,0.5798128750175238,0.0,0.3374,0.5637429500930011,0.0,0.3676,0.54669279884547,0.0,0.3084,0.6091259517706931,0.0,,,
0.0,0.11648239102214575,0.0,0.11590738082304597,0.0,0.11511047789826989,0.0,0.11566910706460476,0.0,0.1166078532114625,0.0,0.1163468579761684,0.0,0.11658555222675204,0.0,0.11602782271802425,0.0,0.11556781502440572,0.254,0.11615050490945578,0.0254,1.175727013964206,0.213,0.5431222780607641,0.2576,0.5590827809646726,0.5,0.005231915973126888,0.2768,2.216240662150085,0.0,10,0.1864,0.5463369488716125,0.0,0.3364,0.5347041469067335,0.0,0.3078,0.5339791141450405,0.0,0.3944,1.086063093971461,0.0,0.3772,0.5798128750175238,0.0,0.3374,0.5637429500930011,0.0,0.3676,0.54669279884547,0.0,0.3084,0.6091259517706931,0.0,0.2576,0.5581916458904743,0.0
