Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00146aa0>/train_phase/train_stream/Task000/Exp009
0.206,0.12428979203104973,0.0,0.11064975010231137,0.0,0.10896681202575564,0.0,0.11305155791342258,0.0,0.11066192900761962,0.0,0.10999520774930716,0.0,0.1133890338242054,0.0,0.11327127227559686,0.0,0.11081118090078235,0.0,0.10742791695520282,0.0206,1.1410126560367644,0.213,0.597518608905375,0.213,0.5984271038323641,0.25,0.006663749925792217,0.2332,2.2802941449917853,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.12197891483083367,0.179,0.11841908702626824,0.0,0.11813544109463692,0.0,0.10855893418192863,0.0,0.11663662688806653,0.0,0.10988460667431355,0.0,0.10991467721760273,0.0,0.11020477069541812,0.0,0.11308237817138433,0.0,0.1093216072767973,0.0179,1.1507899342104793,0.213,0.597518608905375,0.1864,0.5952035710215569,0.25,0.006326134316623211,0.2832,2.2737353551201522,0.0,2,0.1864,0.5942739062011242,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11278793402016163,0.0,0.10901094181463122,0.314,0.10887392004951835,0.0,0.10787045303732157,0.0,0.11184156825765967,0.0,0.10792535543441772,0.0,0.10796411475166678,0.0,0.10797031503170729,0.0,0.10731552401557565,0.0,0.10700544994324446,0.0314,1.1016205591149628,0.213,0.597518608905375,0.3364,0.8365498757921159,0.25,0.006352563854306936,0.2976,2.24670542916283,0.0,3,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.10964303184300661,0.0,0.11035098414868116,0.0,0.10995352687314153,0.312,0.10974030382931232,0.0,0.1103838849812746,0.0,0.10969243384897709,0.0,0.10912627400830388,0.0,0.10935460682958364,0.0,0.11004776926711202,0.0,0.1093905377201736,0.0312,1.1112490147352219,0.213,0.597518608905375,0.3078,0.5647377921268344,0.125,0.00545634888112545,0.3188,2.2220002529211342,0.0,4,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,,,,,,,,,,,,,,,,,,
0.0,0.11006409907713532,0.0,0.11129571916535497,0.0,0.10767006035894156,0.0,0.10806065611541271,0.375,0.11390174180269241,0.0,0.1180888507515192,0.0,0.11060604825615883,0.0,0.11066566780209541,0.0,0.10894351080060005,0.0,0.11030887300148606,0.0375,1.1264956528320909,0.213,0.597518608905375,0.3944,0.5474894889630377,0.25,0.006095650140196085,0.322,2.0610757591202855,0.0,5,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,,,,,,,,,,,,,,,
0.0,0.10936849704012275,0.0,0.11128848884254694,0.0,0.10905269207432866,0.0,0.11342031415551901,0.0,0.1112398193217814,0.394,0.10815533762797713,0.0,0.11333205224946141,0.0,0.3492019879631698,0.0,0.11164237512275577,0.0,0.10722925281152129,0.0394,1.3579352041706443,0.213,0.597518608905375,0.3772,0.5501801520586014,0.375,0.005921217147260904,0.3318,2.186723151244223,0.0,6,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,0.3772,0.5492575969547033,0.0,,,,,,,,,,,,
0.0,0.10796239413321018,0.0,0.10779022192582488,0.0,0.10752405691891909,0.0,0.10773246036842465,0.0,0.10765110980719328,0.0,0.10762830916792154,0.331,0.10834495024755597,0.0,0.10766687989234924,0.0,0.10772495018318295,0.0,0.1084447531029582,0.0331,1.092123117763549,0.213,0.597518608905375,0.3374,0.5361182410269976,0.5,0.005877165589481592,0.304,2.2364538311958313,0.0,7,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,0.3772,0.5492575969547033,0.0,0.3374,0.5351933059282601,0.0,,,,,,,,,
0.0,0.10705400025472045,0.0,0.10731993429362774,0.0,0.10681149503216147,0.0,0.10772363003343344,0.0,0.10808094590902328,0.0,0.10714804101735353,0.0,0.10706206876784563,0.355,0.10701721906661987,0.0,0.10657566227018833,0.0,0.10751865804195404,0.0355,1.0858872355893254,0.213,0.597518608905375,0.3676,0.5390512892045081,0.625,0.010020713787525892,0.3068,2.098300219979137,0.0,8,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,0.3772,0.5492575969547033,0.0,0.3374,0.5351933059282601,0.0,0.3676,0.5381292141973972,0.0,,,,,,
0.0,0.108335189986974,0.0,0.10922949481755495,0.0,0.11071083880960941,0.0,0.1214503850787878,0.0,0.10927636502310634,0.0,0.10901685105636716,0.0,0.1083789300173521,0.0,0.10832388000562787,0.27,0.10849700309336185,0.0,0.10848088189959526,0.027,1.117567711044103,0.213,0.597518608905375,0.3084,0.5393082220107317,0.25,0.007216787897050381,0.3068,2.2409008080139756,0.0,9,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,0.3772,0.5492575969547033,0.0,0.3374,0.5351933059282601,0.0,0.3676,0.5381292141973972,0.0,0.3084,0.5383817669935524,0.0,,,
0.0,0.10845534317195415,0.0,0.10784916300326586,0.0,0.10726938303560019,0.0,0.10740847513079643,0.0,0.10898339981213212,0.0,0.11052860599011183,0.0,0.11243719700723886,0.0,0.11492903809994459,0.0,0.1157448417507112,0.254,0.10763241909444332,0.0254,1.1149049871601164,0.213,0.597518608905375,0.2576,0.8416664530523121,0.5,0.006212922278791666,0.2768,2.167674718890339,0.0,10,0.1864,0.5942739062011242,0.0,0.3364,0.8356419112533331,0.0,0.3078,0.5638946667313576,0.0,0.3944,0.5465569240041077,0.0,0.3772,0.5492575969547033,0.0,0.3374,0.5351933059282601,0.0,0.3676,0.5381292141973972,0.0,0.3084,0.5383817669935524,0.0,0.2576,0.8407704369165003,0.0
