Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c2d3940>/train_phase/train_stream/Task000/Exp009
0.206,0.11590022314339876,0.0,0.1153441839851439,0.0,0.11698167026042938,0.0,0.1155046671628952,0.0,0.11734826629981399,0.0,0.11749266879633069,0.0,0.11600234359502792,0.0,0.11530966404825449,0.0,0.1155324256978929,0.0,0.11744751874357462,0.0206,1.1754887090064585,0.213,0.5798754906281829,0.213,0.5808046362362802,0.25,0.009469402953982353,0.2332,2.5836583678610623,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11648117192089558,0.179,0.11589696304872632,0.0,0.11708095204085112,0.0,0.1155460481531918,0.0,0.11716478271409869,0.0,0.11579385073855519,0.0,0.115294573828578,0.0,0.11768669169396162,0.0,0.11767103103920817,0.0,0.11553766811266541,0.0179,1.1772075658664107,0.213,0.5798754906281829,0.1864,0.5704805990681052,0.25,0.009418183006346226,0.2832,2.8290657442994416,0.0,2,0.1864,0.5696118241176009,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11400212068110704,0.0,0.11638030130416155,0.314,0.11769734183326364,0.0,0.11574408086016774,0.0,0.11715089296922088,0.0,0.1164190317504108,0.0,0.11505305906757712,0.0,0.10937162674963474,0.0,0.11552996700629592,0.0,0.11808082787320018,0.0314,1.1682009380310774,0.213,0.5798754906281829,0.3364,0.5695801940746605,0.25,0.00943022407591343,0.2976,2.2535057705827057,0.0,3,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.11628016969189048,0.0,0.1165713332593441,0.0,0.1260658991523087,0.312,0.11692573921754956,0.0,0.11484480602666736,0.0,0.11669238610193133,0.0,0.11491493694484234,0.0,0.11489679617807269,0.0,0.11626534909009933,0.0,0.11486736591905355,0.0312,1.1810162868350744,0.213,0.5798754906281829,0.3078,0.572725114878267,0.125,0.009421763010323048,0.3188,2.6406108383089304,0.0,4,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,,,,,,,,,,,,,,,,,,
0.0,0.11621289700269699,0.0,0.11672080680727959,0.0,0.12380286073312163,0.0,0.11483903601765633,0.375,0.11706797173246741,0.0,0.11485587619245052,0.0,0.11497172806411982,0.0,0.1169934100471437,0.0,0.1168061881326139,0.0,0.11487309634685516,0.0375,1.1799053577706218,0.213,0.5798754906281829,0.3944,0.794926623813808,0.25,0.00933170085772872,0.322,2.702681996393949,0.0,5,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,,,,,,,,,,,,,,,
0.0,0.11586192296817899,0.0,0.1169591099023819,0.0,0.11548126628622413,0.0,0.11484544584527612,0.0,0.11551470588892698,0.394,0.11688537895679474,0.0,0.11548033636063337,0.0,0.10760664800181985,0.0,0.11485944502055645,0.0,0.11626147804781795,0.0394,1.1636114716529846,0.213,0.5798754906281829,0.3772,0.5719469510950148,0.375,0.009431723039597273,0.3318,2.6843294170685112,0.0,6,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,0.3772,0.5710878171958029,0.0,,,,,,,,,,,,
0.0,0.1164209209382534,0.0,0.1148812361061573,0.0,0.11570770991966128,0.0,0.11482521612197161,0.0,0.11586777167394757,0.0,0.11485698586329818,0.331,0.1159540843218565,0.0,0.10927812475711107,0.0,0.1176274111494422,0.0,0.11485815607011318,0.0331,1.16305161267519,0.213,0.5798754906281829,0.3374,0.5712631302885711,0.5,0.005101151764392853,0.304,2.4661262608133256,0.0,7,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,0.3772,0.5710878171958029,0.0,0.3374,0.5704257860779762,0.0,,,,,,,,,
0.0,0.11651212302967906,0.0,0.1172416340559721,0.0,0.11693997122347355,0.0,0.11694236006587744,0.0,0.11440171767026186,0.0,0.11691210931167006,0.0,0.35526671214029193,0.355,0.11581429094076157,0.0,0.11700229113921523,0.0,0.11610411573201418,0.0355,1.416033502202481,0.213,0.5798754906281829,0.3676,0.5802356149069965,0.625,0.009374981746077538,0.3068,2.2428850140422583,0.0,8,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,0.3772,0.5710878171958029,0.0,0.3374,0.5704257860779762,0.0,0.3676,0.5793753508478403,0.0,,,,,,
0.0,0.11717102397233248,0.0,0.11709455214440823,0.0,0.11625543888658285,0.0,0.11602028412744403,0.0,0.10810716636478901,0.0,0.11633651982992887,0.0,0.11604252504184842,0.0,0.117205954156816,0.27,0.10807589581236243,0.0,0.11819976009428501,0.027,1.163301876746118,0.213,0.5798754906281829,0.3084,0.5357667622156441,0.25,0.0053538172505795956,0.3068,2.011121779214591,0.0,9,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,0.3772,0.5710878171958029,0.0,0.3374,0.5704257860779762,0.0,0.3676,0.5793753508478403,0.0,0.3084,0.5349450190551579,0.0,,,
0.0,0.1161587368696928,0.0,0.1159787536598742,0.0,0.11597279366105795,0.0,0.11694257892668247,0.0,0.11710519203916192,0.0,0.11715956311672926,0.0,0.11557694803923368,0.0,0.11508724000304937,0.0,0.11707077082246542,0.254,0.11515747988596559,0.0254,1.1750471671111882,0.213,0.5798754906281829,0.2576,0.5810168283060193,0.5,0.0069113620556890965,0.2768,2.2206991319544613,0.0,10,0.1864,0.5696118241176009,0.0,0.3364,0.5687140300869942,0.0,0.3078,0.5718559501692653,0.0,0.3944,0.7940347301773727,0.0,0.3772,0.5710878171958029,0.0,0.3374,0.5704257860779762,0.0,0.3676,0.5793753508478403,0.0,0.3084,0.5349450190551579,0.0,0.2576,0.5799569110386074,0.0
