Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task001/Exp001,Time_Exp/eval_phase/test_stream/Task001/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task002/Exp002,Time_Exp/eval_phase/test_stream/Task002/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task003/Exp003,Time_Exp/eval_phase/test_stream/Task003/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task004/Exp004,Time_Exp/eval_phase/test_stream/Task004/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task005/Exp005,Time_Exp/eval_phase/test_stream/Task005/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task006/Exp006,Time_Exp/eval_phase/test_stream/Task006/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task007/Exp007,Time_Exp/eval_phase/test_stream/Task007/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task008/Exp008,Time_Exp/eval_phase/test_stream/Task008/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task009/Exp009,Time_Exp/eval_phase/test_stream/Task009/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task009,Time_Stream/eval_phase/test_stream/Task009,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task001/Exp001,Time_Exp/eval_phase/train_stream/Task001/Exp001,Top1_Acc_Stream/eval_phase/train_stream/Task001,Time_Stream/eval_phase/train_stream/Task001,Top1_Acc_MB/train_phase/train_stream/Task001,Time_MB/train_phase/train_stream/Task001,Top1_Acc_Epoch/train_phase/train_stream/Task001,Time_Epoch/train_phase/train_stream/Task001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task001/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task002/Exp002,Time_Exp/eval_phase/train_stream/Task002/Exp002,Top1_Acc_Stream/eval_phase/train_stream/Task002,Time_Stream/eval_phase/train_stream/Task002,Top1_Acc_MB/train_phase/train_stream/Task002,Time_MB/train_phase/train_stream/Task002,Top1_Acc_Epoch/train_phase/train_stream/Task002,Time_Epoch/train_phase/train_stream/Task002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task002/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task003/Exp003,Time_Exp/eval_phase/train_stream/Task003/Exp003,Top1_Acc_Stream/eval_phase/train_stream/Task003,Time_Stream/eval_phase/train_stream/Task003,Top1_Acc_MB/train_phase/train_stream/Task003,Time_MB/train_phase/train_stream/Task003,Top1_Acc_Epoch/train_phase/train_stream/Task003,Time_Epoch/train_phase/train_stream/Task003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task003/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task004/Exp004,Time_Exp/eval_phase/train_stream/Task004/Exp004,Top1_Acc_Stream/eval_phase/train_stream/Task004,Time_Stream/eval_phase/train_stream/Task004,Top1_Acc_MB/train_phase/train_stream/Task004,Time_MB/train_phase/train_stream/Task004,Top1_Acc_Epoch/train_phase/train_stream/Task004,Time_Epoch/train_phase/train_stream/Task004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task004/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task005/Exp005,Time_Exp/eval_phase/train_stream/Task005/Exp005,Top1_Acc_Stream/eval_phase/train_stream/Task005,Time_Stream/eval_phase/train_stream/Task005,Top1_Acc_MB/train_phase/train_stream/Task005,Time_MB/train_phase/train_stream/Task005,Top1_Acc_Epoch/train_phase/train_stream/Task005,Time_Epoch/train_phase/train_stream/Task005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task005/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task006/Exp006,Time_Exp/eval_phase/train_stream/Task006/Exp006,Top1_Acc_Stream/eval_phase/train_stream/Task006,Time_Stream/eval_phase/train_stream/Task006,Top1_Acc_MB/train_phase/train_stream/Task006,Time_MB/train_phase/train_stream/Task006,Top1_Acc_Epoch/train_phase/train_stream/Task006,Time_Epoch/train_phase/train_stream/Task006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task006/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task007/Exp007,Time_Exp/eval_phase/train_stream/Task007/Exp007,Top1_Acc_Stream/eval_phase/train_stream/Task007,Time_Stream/eval_phase/train_stream/Task007,Top1_Acc_MB/train_phase/train_stream/Task007,Time_MB/train_phase/train_stream/Task007,Top1_Acc_Epoch/train_phase/train_stream/Task007,Time_Epoch/train_phase/train_stream/Task007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task007/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task008/Exp008,Time_Exp/eval_phase/train_stream/Task008/Exp008,Top1_Acc_Stream/eval_phase/train_stream/Task008,Time_Stream/eval_phase/train_stream/Task008,Top1_Acc_MB/train_phase/train_stream/Task008,Time_MB/train_phase/train_stream/Task008,Top1_Acc_Epoch/train_phase/train_stream/Task008,Time_Epoch/train_phase/train_stream/Task008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task008/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task009/Exp009,Time_Exp/eval_phase/train_stream/Task009/Exp009,Top1_Acc_Stream/eval_phase/train_stream/Task009,Time_Stream/eval_phase/train_stream/Task009,Top1_Acc_MB/train_phase/train_stream/Task009,Time_MB/train_phase/train_stream/Task009,Top1_Acc_Epoch/train_phase/train_stream/Task009,Time_Epoch/train_phase/train_stream/Task009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8cb1bd30>/train_phase/train_stream/Task009/Exp009
0.25,0.06420391891151667,0.25925925925925924,0.08536692522466183,0.16129032258064516,0.09741947101429105,0.2,0.06406529573723674,0.2830188679245283,0.1607354753650725,0.27586206896551724,0.0907325018197298,0.1,0.0643036300316453,0.25,0.06421126890927553,0.1,0.06396862491965294,0.2,0.10960573004558682,0.21818181818181817,0.8940305123105645,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06434994097799063,0.25925925925925924,0.08557524811476469,0.16129032258064516,0.097777945920825,0.2,0.06406278721988201,0.2830188679245283,0.16075938614085317,0.27586206896551724,0.09074287209659815,0.1,0.0640570861287415,0.25,0.06392877362668514,0.1,0.06396278506144881,0.2,0.10960161034017801,0.21818181818181817,0.8939447198063135,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,2,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.064131376799196,0.25925925925925924,0.08519549202173948,0.16129032258064516,0.09733388014137745,0.2,0.06408328609541059,0.2830188679245283,0.16075296606868505,0.27586206896551724,0.09072810178622603,0.1,0.06405849615111947,0.25,0.06512520369142294,0.1,0.063953653909266,0.2,0.1113437288440764,0.21818181818181817,0.8959364918991923,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,3,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.064963239710778,0.25925925925925924,0.0862991800531745,0.16129032258064516,0.09919126005843282,0.2,0.06500391196459532,0.2830188679245283,0.16345224902033806,0.27586206896551724,0.09167061699554324,0.1,0.06496952101588249,0.25,0.06491259997710586,0.1,0.06484519923105836,0.2,0.11139701027423143,0.21818181818181817,0.9072013660334051,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,4,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06558667123317719,0.25925925925925924,0.08741133706644177,0.16129032258064516,0.09896219614893198,0.2,0.06536564836278558,0.2830188679245283,0.16359839122742414,0.27586206896551724,0.09255031123757362,0.1,0.064950049854815,0.25,0.06495492113754153,0.1,0.06489292019978166,0.2,0.11064981715753675,0.21818181818181817,0.9081262112595141,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,5,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06533457711338997,0.25925925925925924,0.08649963233619928,0.16129032258064516,0.09958979720249772,0.2,0.06508094165474176,0.2830188679245283,0.16340339882299304,0.27586206896551724,0.09163320669904351,0.1,0.0649794009514153,0.25,0.06481404788792133,0.1,0.06495192088186741,0.2,0.11141145974397659,0.21818181818181817,0.9071609838865697,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,6,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,0.25217391304347825,0.33864114014431834,0.25217391304347825,0.34104829002171755,0.15789473684210525,0.1426302189938724,0.25217391304347825,0.8151369127444923,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06499556079506874,0.25925925925925924,0.08695165999233723,0.16129032258064516,0.09826690424233675,0.2,0.06494093080982566,0.2830188679245283,0.16250360291451216,0.27586206896551724,0.09275756496936083,0.1,0.06496843136847019,0.25,0.06476082699373364,0.1,0.06487723998725414,0.2,0.11137133929878473,0.21818181818181817,0.905704481061548,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,7,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,0.25217391304347825,0.33864114014431834,0.25217391304347825,0.34104829002171755,0.15789473684210525,0.1426302189938724,0.25217391304347825,0.8151369127444923,0.0,0.225,0.24146062368527055,0.225,0.24387254286557436,0.125,0.12152814492583275,0.225,0.5760149657726288,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.07728286227211356,0.25925925925925924,0.10212748823687434,0.16129032258064516,0.11605529487133026,0.2,0.07654319005087018,0.2830188679245283,0.19137504464015365,0.27586206896551724,0.1085606929846108,0.1,0.07710638921707869,0.25,0.07646501902490854,0.1,0.07645804900676012,0.2,0.13055127207189798,0.21818181818181817,1.0623668488115072,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,8,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,0.25217391304347825,0.33864114014431834,0.25217391304347825,0.34104829002171755,0.15789473684210525,0.1426302189938724,0.25217391304347825,0.8151369127444923,0.0,0.225,0.24146062368527055,0.225,0.24387254286557436,0.125,0.12152814492583275,0.225,0.5760149657726288,0.0,0.2625,0.28489354299381375,0.2625,0.28728157095611095,0.125,0.14436595793813467,0.2625,0.6787689551711082,0.0,,,,,,,,,,,,,,,,,,
0.25,0.07730875303968787,0.25925925925925924,0.10180770279839635,0.16129032258064516,0.11577372997999191,0.2,0.07657398981973529,0.2830188679245283,0.1922096093185246,0.27586206896551724,0.1082349382340908,0.1,0.07720425073057413,0.25,0.07678211433812976,0.1,0.07649694895371795,0.2,0.13038017926737666,0.21818181818181817,1.062707873992622,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,9,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,0.25217391304347825,0.33864114014431834,0.25217391304347825,0.34104829002171755,0.15789473684210525,0.1426302189938724,0.25217391304347825,0.8151369127444923,0.0,0.225,0.24146062368527055,0.225,0.24387254286557436,0.125,0.12152814492583275,0.225,0.5760149657726288,0.0,0.2625,0.28489354299381375,0.2625,0.28728157095611095,0.125,0.14436595793813467,0.2625,0.6787689551711082,0.0,0.2375,0.2854039301164448,0.2375,0.2877775589004159,0.1875,0.14310212712734938,0.2375,0.678065974265337,0.0,,,,,,,,,
0.25,0.07702351920306683,0.25925925925925924,0.1017707921564579,0.16129032258064516,0.11658208398148417,0.2,0.07685140520334244,0.2830188679245283,0.19083748618140817,0.27586206896551724,0.10936192609369755,0.1,0.07682397495955229,0.25,0.07654959103092551,0.1,0.07634458690881729,0.2,0.13051851093769073,0.21818181818181817,1.0626602130942047,0.2125,0.2391954157501459,0.2125,0.24156808527186513,0.3125,0.12113580899313092,0.25,0.5771594168618321,0.0,10,0.16666666666666666,0.31231600092723966,0.16666666666666666,0.31467483891174197,0.16666666666666666,0.09393302397802472,0.16666666666666666,0.7632469860836864,0.0,0.18181818181818182,0.3543631681241095,0.18181818181818182,0.356750856153667,0.12,0.1871000062674284,0.18181818181818182,0.8587083439342678,0.0,0.325,0.24186846986413002,0.325,0.2442457489669323,0.4375,0.1214167126454413,0.325,0.5753752570599318,0.0,0.19811320754716982,0.626819936092943,0.19811320754716982,0.6292020152322948,0.35,0.14829071192070842,0.19811320754716982,1.5114110941067338,0.0,0.25217391304347825,0.33864114014431834,0.25217391304347825,0.34104829002171755,0.15789473684210525,0.1426302189938724,0.25217391304347825,0.8151369127444923,0.0,0.225,0.24146062368527055,0.225,0.24387254286557436,0.125,0.12152814492583275,0.225,0.5760149657726288,0.0,0.2625,0.28489354299381375,0.2625,0.28728157095611095,0.125,0.14436595793813467,0.2625,0.6787689551711082,0.0,0.2375,0.2854039301164448,0.2375,0.2877775589004159,0.1875,0.14310212712734938,0.2375,0.678065974265337,0.0,0.21014492753623187,0.48485783860087395,0.21014492753623187,0.48721309658139944,0.2,0.09205246390774846,0.21014492753623187,1.162955332081765,0.0
