Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdfa3981240>/train_phase/train_stream/Task000/Exp009
0.9424,0.8520687785930932,0.1236,0.6408701068721712,0.0926,0.6646104757674038,0.0948,0.6321799037978053,0.0903,0.6293302560225129,0.1667,0.6223695031367242,0.1525,0.6366631169803441,0.0863,0.6303372327238321,0.1168,0.6306277182884514,0.1157,0.6292289351113141,0.19817,6.582622993271798,0.9444666666666667,3.924342474900186,0.9444666666666667,3.92471816111356,0.875,0.0015908358618617058,0.8361833333333333,7.026781286112964,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2797,0.6328205750323832,0.9374,0.6294566383585334,0.0896,0.6296462607569993,0.1423,0.6290127416141331,0.159,0.632726192008704,0.1129,0.6294803689233959,0.1482,0.6320551009848714,0.107,0.6475506061688066,0.0879,0.6668329611420631,0.1266,0.6247309911996126,0.21906,6.367858668323606,0.9444666666666667,3.924342474900186,0.9359666666666666,3.9862222569063306,1.0,0.0013778931461274624,0.8190333333333333,6.945690982043743,0.0,2,0.9359666666666666,3.9856178360059857,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.2367,0.6470884568989277,0.5772,0.640477888751775,0.9279,0.6253897021524608,0.1269,0.6292772148735821,0.1274,0.911903218831867,0.1234,0.6234492110088468,0.1484,0.6281301472336054,0.1543,0.631526893004775,0.1303,0.7352223820053041,0.1532,0.6796901109628379,0.27057,6.767364112660289,0.9444666666666667,3.924342474900186,0.9289666666666667,3.7603267319500446,0.8125,0.0016000173054635525,0.80785,6.861746312119067,0.0,3,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,,,,,,,,,,,,,,,,,,,,,
0.108,0.6684267870150506,0.2191,0.6165719870477915,0.5421,0.6358383917249739,0.8841,0.6330807670019567,0.1161,0.6303786737844348,0.1165,0.6310367430560291,0.1231,0.633471024222672,0.1278,0.6388401919975877,0.1242,0.6175438626669347,0.1067,0.6165457349270582,0.24677,6.335874225944281,0.9444666666666667,3.924342474900186,0.89475,4.098110145889223,0.75,0.001603015698492527,0.7897,7.268786760978401,0.0,4,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,,,,,,,,,,,,,,,,,,
0.0931,0.6426672139205039,0.1917,0.6344653801061213,0.3358,0.6237402837723494,0.5783,0.6200082930736244,0.9172,0.616905031260103,0.107,0.6320927510969341,0.1065,0.62629270600155,0.154,0.6223584213294089,0.1126,0.7309864307753742,0.1121,0.75057114334777,0.27083,6.514938826672733,0.9444666666666667,3.924342474900186,0.92655,4.125543183181435,0.75,0.0015969169326126575,0.7795,7.211626058910042,0.0,5,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,,,,,,,,,,,,,,,
0.1348,0.6495681069791317,0.159,0.8982659121975303,0.2381,0.6355503369122744,0.3886,0.6367666269652545,0.6284,0.643564288970083,0.919,0.6342373862862587,0.1422,0.6249616425484419,0.1417,0.6162872319109738,0.1032,0.6179876890964806,0.0997,0.614538093097508,0.29547,6.587239078711718,0.9444666666666667,3.924342474900186,0.9198166666666666,3.828697125427425,0.84375,0.0016445969231426716,0.7653166666666666,7.419861569069326,0.0,6,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,0.9198166666666666,3.827992774080485,0.0,,,,,,,,,,,,
0.1208,0.6575343781150877,0.1303,0.6381614301353693,0.1867,0.6393118691630661,0.259,0.6311283642426133,0.3232,0.6449528010562062,0.3285,0.6318731470964849,0.9126,0.6346146110445261,0.1553,0.6337731969542801,0.1913,0.6599638569168746,0.0879,0.6142334584146738,0.26956,6.400074669159949,0.9444666666666667,3.924342474900186,0.9141666666666667,4.060068175196648,0.84375,0.001335902139544487,0.7432,6.7828959743492305,0.0,7,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,0.9198166666666666,3.827992774080485,0.0,0.9141666666666667,4.059465626254678,0.0,,,,,,,,,
0.1696,0.6577140800654888,0.1263,0.6147432248108089,0.1842,0.62602151138708,0.2157,0.619855668861419,0.1242,0.62035380769521,0.1527,0.6250522048212588,0.5734,0.6297001102939248,0.9003,0.6295408979058266,0.167,0.6279401509091258,0.1175,0.6231925850734115,0.27309,6.288516836706549,0.9444666666666667,3.924342474900186,0.9014166666666666,4.007251427974552,0.84375,0.001378853339701891,0.7140166666666666,7.288305684924126,0.0,8,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,0.9198166666666666,3.827992774080485,0.0,0.9141666666666667,4.059465626254678,0.0,0.9014166666666666,4.006858060602099,0.0,,,,,,
0.096,0.9233073522336781,0.1527,0.6437423205934465,0.1245,0.6546986000612378,0.1074,0.648941095918417,0.1807,0.6261232015676796,0.153,0.627879339735955,0.2406,0.6321910712867975,0.4124,0.6361448960378766,0.9022,0.6243565222248435,0.059,0.6474423012696207,0.24285,6.679572673048824,0.9444666666666667,3.924342474900186,0.90105,3.866862765047699,0.625,0.0013182624243199825,0.6748166666666666,7.215088221244514,0.0,9,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,0.9198166666666666,3.827992774080485,0.0,0.9141666666666667,4.059465626254678,0.0,0.9014166666666666,4.006858060602099,0.0,0.90105,3.8663074858486652,0.0,,,
0.1059,0.6576767880469561,0.1721,0.6283705281093717,0.1288,0.6382332113571465,0.1034,0.627672656904906,0.1429,0.6156212198548019,0.1511,0.6229361998848617,0.2187,0.615784022025764,0.3254,0.6149129481054842,0.3829,0.614302096888423,0.8782,0.6235852092504501,0.26094,6.274505861103535,0.9444666666666667,3.924342474900186,0.8803666666666666,4.070634213741869,0.75,0.0012299101799726486,0.6768,7.221348589751869,0.0,10,0.9359666666666666,3.9856178360059857,0.0,0.9289666666666667,3.7596297413110733,0.0,0.89475,4.097430365160108,0.0,0.92655,4.124873962253332,0.0,0.9198166666666666,3.827992774080485,0.0,0.9141666666666667,4.059465626254678,0.0,0.9014166666666666,4.006858060602099,0.0,0.90105,3.8663074858486652,0.0,0.8803666666666666,4.069786828942597,0.0
