Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97edd0>/train_phase/train_stream/Task000/Exp009
0.9383,0.9115033838897943,0.1043,0.6152714258059859,0.1188,0.6152103156782687,0.0792,0.6289435396902263,0.072,0.6731865620240569,0.0734,0.6415327461436391,0.0967,0.6211127620190382,0.0852,0.627400504425168,0.1463,0.6296240300871432,0.0929,0.6228734110482037,0.18071,6.600819583982229,0.9422166666666667,3.7894289968535304,0.9422166666666667,3.7901214389130473,0.96875,0.00136670283973217,0.8449166666666666,6.9190064198337495,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5762,0.6289201686158776,0.9307,0.6138516538776457,0.0709,0.6391001348383725,0.1474,0.6155375908128917,0.0754,0.6275490666739643,0.0978,0.6305983760394156,0.1382,0.6247618123888969,0.0805,0.6236664443276823,0.0851,0.6350224493071437,0.0893,0.6253828220069408,0.22915,6.277455682866275,0.9422166666666667,3.7894289968535304,0.9334,3.9745268588885665,0.84375,0.0015985360369086266,0.8284666666666667,6.935961135663092,0.0,2,0.9334,3.9739179802127182,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.3942,0.6319004581309855,0.7146,0.6140745570883155,0.9362,0.6175574040971696,0.165,0.622040047775954,0.1069,0.8894761838018894,0.1191,0.6323904357850552,0.1301,0.6172294490970671,0.1343,0.6360340546816587,0.1526,0.6529210521839559,0.0882,0.6459675179794431,0.29412,6.574206938035786,0.9422166666666667,3.7894289968535304,0.93705,3.7211879221722484,0.90625,0.0016796570271253586,0.8222333333333334,6.9152429471723735,0.0,3,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,,,,,,,,,,,,,,,,,,,,,
0.1394,0.6763396542519331,0.4852,0.6217931429855525,0.6664,0.6328176432289183,0.9353,0.62511434732005,0.0651,0.6401397720910609,0.0942,0.6351272310130298,0.0991,0.6573969637975097,0.098,0.6218433133326471,0.0772,0.6141918487846851,0.0924,0.6284060711041093,0.27523,6.367746106348932,0.9422166666666667,3.7894289968535304,0.9360833333333334,4.492718329187483,0.8125,0.001615406945347786,0.8112333333333334,6.705374268814921,0.0,4,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,,,,,,,,,,,,,,,,,,
0.1165,0.63222118280828,0.301,0.6293054460547864,0.2957,0.6450583226978779,0.5121,0.647977830376476,0.9215,0.6366307847201824,0.1226,0.6453144461847842,0.1364,0.6630040956661105,0.1253,0.6549897151999176,0.0945,0.6685999068431556,0.1102,0.6479839812964201,0.27358,6.485361085273325,0.9422166666666667,3.7894289968535304,0.9318,3.999706949107349,0.96875,0.0015980559401214123,0.8023333333333333,7.015462880022824,0.0,5,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,,,,,,,,,,,,,,,
0.1221,0.6477626170963049,0.0927,0.8818864501081407,0.1153,0.626839894335717,0.3678,0.6280562449246645,0.4959,0.6362492493353784,0.9228,0.6390478741377592,0.1357,0.6311772959306836,0.0628,0.6116320369765162,0.1321,0.6163442637771368,0.1073,0.6129347193054855,0.25545,6.546909619122744,0.9422166666666667,3.7894289968535304,0.92705,3.657279276754707,0.65625,0.0016814880073070526,0.7692666666666667,7.143676282837987,0.0,6,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,0.92705,3.6565632061101496,0.0,,,,,,,,,,,,
0.0926,0.626898945774883,0.1388,0.6286826548166573,0.1456,0.6668684091418982,0.198,0.6280534649267793,0.2584,0.6154454490169883,0.393,0.6213272553868592,0.8925,0.6204009503126144,0.0671,0.6412598411552608,0.1418,0.6340084127150476,0.1264,0.6259588496759534,0.24542,6.32324284594506,0.9422166666666667,3.7894289968535304,0.8887833333333334,4.031187421176583,0.8125,0.0015940158627927303,0.7208,7.018275685142726,0.0,7,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,0.92705,3.6565632061101496,0.0,0.8887833333333334,4.030810734722763,0.0,,,,,,,,,
0.0729,0.6716972561553121,0.1167,0.6487614321522415,0.1613,0.6203034622594714,0.2408,0.6194834788329899,0.2227,0.6402734373696148,0.2736,0.6450807070359588,0.3146,0.6223719967529178,0.8825,0.6063811858184636,0.1174,0.6205071248114109,0.1168,0.6214241296984255,0.25193,6.330131604336202,0.9422166666666667,3.7894289968535304,0.8850333333333333,3.9875873238779604,0.78125,0.0014099227264523506,0.71635,6.850455285049975,0.0,8,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,0.92705,3.6565632061101496,0.0,0.8887833333333334,4.030810734722763,0.0,0.8850333333333333,3.9872182570397854,0.0,,,,,,
0.0908,0.9099260549992323,0.1541,0.6236096979118884,0.158,0.62163055408746,0.2477,0.6317181130871177,0.1799,0.6271946360357106,0.2326,0.6272099670022726,0.2736,0.6764466832391918,0.5125,0.6255507692694664,0.8731,0.6382472109980881,0.1146,0.6221929211169481,0.28369,6.618370213080198,0.9422166666666667,3.7894289968535304,0.8761666666666666,3.8438317705877125,0.8125,0.0014106640592217445,0.6764666666666667,6.79650929197669,0.0,9,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,0.92705,3.6565632061101496,0.0,0.8887833333333334,4.030810734722763,0.0,0.8850333333333333,3.9872182570397854,0.0,0.8761666666666666,3.8434046544134617,0.0,,,
0.0732,0.6376964943483472,0.1073,0.6285388800315559,0.0891,0.6945497058331966,0.1035,0.6528352978639305,0.1165,0.634160331916064,0.1644,0.616775922011584,0.1419,0.614608904812485,0.1454,0.6194950370118022,0.3865,0.6476454180665314,0.8128,0.6285784081555903,0.21406,6.389376672916114,0.9422166666666667,3.7894289968535304,0.8162333333333334,4.134120765142143,0.625,0.0013006520457565784,0.5949166666666666,7.102426989004016,0.0,10,0.9334,3.9739179802127182,0.0,0.93705,3.720727264881134,0.0,0.9360833333333334,4.492347593419254,0.0,0.9318,3.999285291880369,0.0,0.92705,3.6565632061101496,0.0,0.8887833333333334,4.030810734722763,0.0,0.8850333333333333,3.9872182570397854,0.0,0.8761666666666666,3.8434046544134617,0.0,0.8162333333333334,4.133672507945448,0.0
