Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8c97c2b0>/train_phase/train_stream/Task000/Exp009
0.9383,0.9167194976471364,0.1043,0.6370537150651217,0.1188,0.6346824057400227,0.0792,0.6307249022647738,0.072,0.6354687111452222,0.0734,0.6277972841635346,0.0967,0.6296798451803625,0.0852,0.6342387902550399,0.1463,0.6294382610358298,0.0929,0.6320601836778224,0.18071,6.622742161154747,0.9422166666666667,3.8883843356743455,0.9422166666666667,3.888778931926936,0.96875,0.0013103210367262363,0.8449166666666666,7.370479709934443,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5762,0.651801226194948,0.9307,0.6228855140507221,0.0709,0.6491598132997751,0.1474,0.6343872221186757,0.0754,0.628522994928062,0.0978,0.6268239379860461,0.1382,0.6270042899996042,0.0805,0.6264404109679163,0.0851,0.6299126679077744,0.0893,0.6224043760448694,0.22915,6.3330296580679715,0.9422166666666667,3.8883843356743455,0.9334,4.007043752353638,0.84375,0.0013240822590887547,0.8284666666666667,7.359887628816068,0.0,2,0.9334,4.006683906074613,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.3942,0.6550133880227804,0.7146,0.6348073892295361,0.9362,0.6277351318858564,0.165,0.628442803863436,0.1069,0.8981848531402647,0.1191,0.6345811439678073,0.1301,0.6402593869715929,0.1343,0.6262358878739178,0.1526,0.621297107078135,0.0882,0.6158879580907524,0.29412,6.597532084677368,0.9422166666666667,3.8883843356743455,0.93705,3.8274026308208704,0.90625,0.0014138631522655487,0.8222333333333334,7.1444118190556765,0.0,3,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,,,,,,,,,,,,,,,,,,,,,
0.1394,0.6509494702331722,0.4852,0.6367145283147693,0.6664,0.6818485260009766,0.9353,0.6497720419429243,0.0651,0.6416780799627304,0.0942,0.6383905461989343,0.0991,0.6273603546433151,0.098,0.6254360228776932,0.0772,0.6302210818976164,0.0924,0.6523023629561067,0.27523,6.449531530030072,0.9422166666666667,3.8883843356743455,0.9360833333333334,4.049393886234611,0.8125,0.001408922951668501,0.8112333333333334,7.224624744150788,0.0,4,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,,,,,,,,,,,,,,,,,,
0.1165,0.6499061631038785,0.301,0.6268815058283508,0.2957,0.6320202606730163,0.5121,0.6262558568269014,0.9215,0.6296374821104109,0.1226,0.6686516501940787,0.1364,0.6450879746116698,0.1253,0.6569813587702811,0.0945,0.6763267046771944,0.1102,0.6316537950187922,0.27358,6.45765292737633,0.9422166666666667,3.8883843356743455,0.9318,4.130693051032722,0.96875,0.0013286811299622059,0.8023333333333333,7.135076622944325,0.0,5,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,,,,,,,,,,,,,,,
0.1221,0.7625549640506506,0.0927,1.0233677667565644,0.1153,0.628606793936342,0.3678,0.6266923537477851,0.4959,0.6259679817594588,0.9228,0.6303476332686841,0.1357,0.6311883269809186,0.0628,0.663967662025243,0.1321,0.6292137950658798,0.1073,0.6238323356956244,0.25545,6.85995066491887,0.9422166666666667,3.8883843356743455,0.92705,4.577593293040991,0.65625,0.0011874102056026459,0.7692666666666667,7.176573045086116,0.0,6,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,0.92705,4.577198636252433,0.0,,,,,,,,,,,,
0.0926,0.6459273481741548,0.1388,0.6274339552037418,0.1456,0.634083183016628,0.198,0.6443592109717429,0.2584,0.6857576691545546,0.393,0.629216643050313,0.8925,0.6257377173751593,0.0671,0.6296545010991395,0.1418,0.6303963628597558,0.1264,0.6298027029260993,0.24542,6.396935460623354,0.9422166666666667,3.8883843356743455,0.8887833333333334,4.022689749021083,0.8125,0.0013316408731043339,0.7208,7.205765985418111,0.0,7,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,0.92705,4.577198636252433,0.0,0.8887833333333334,4.022292573004961,0.0,,,,,,,,,
0.0729,0.6560855433344841,0.1167,0.6337656979449093,0.1613,0.6386259971186519,0.2408,0.6284621609374881,0.2227,0.6303509320132434,0.2736,0.6185991102829576,0.3146,0.6147579569369555,0.8825,0.6142033082433045,0.1174,0.6141668381169438,0.1168,0.6154609988443553,0.25193,6.279000500682741,0.9422166666666667,3.8883843356743455,0.8850333333333333,4.063884498085827,0.78125,0.0009431960061192513,0.71635,7.195175725966692,0.0,8,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,0.92705,4.577198636252433,0.0,0.8887833333333334,4.022292573004961,0.0,0.8850333333333333,4.063193457201123,0.0,,,,,,
0.0908,0.8438708018511534,0.1541,0.6580680552870035,0.158,0.6351523399353027,0.2477,0.6286184340715408,0.1799,0.6298155817203224,0.2326,0.6271220790222287,0.2736,0.6247782204300165,0.5125,0.667820043861866,0.8731,0.6134708658792078,0.1146,0.6181539921090007,0.28369,6.560925523284823,0.9422166666666667,3.8883843356743455,0.8761666666666666,3.844623161945492,0.8125,0.0013248613104224205,0.6764666666666667,6.694195874035358,0.0,9,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,0.92705,4.577198636252433,0.0,0.8887833333333334,4.022292573004961,0.0,0.8850333333333333,4.063193457201123,0.0,0.8761666666666666,3.8442605561576784,0.0,,,
0.0732,0.6544597260653973,0.1073,0.6910899737849832,0.0891,0.6253675008192658,0.1035,0.6293921652249992,0.1165,0.6374396081082523,0.1644,0.6461768699809909,0.1419,0.61211760295555,0.1454,0.608369252178818,0.3865,0.6114915129728615,0.8128,0.6095610922202468,0.21406,6.339096562936902,0.9422166666666667,3.8883843356743455,0.8162333333333334,4.148583565838635,0.625,0.0013809329830110073,0.5949166666666666,6.8188532860949636,0.0,10,0.9334,4.006683906074613,0.0,0.93705,3.8267801012843847,0.0,0.9360833333333334,4.049027029890567,0.0,0.9318,4.130014650058001,0.0,0.92705,4.577198636252433,0.0,0.8887833333333334,4.022292573004961,0.0,0.8850333333333333,4.063193457201123,0.0,0.8761666666666666,3.8442605561576784,0.0,0.8162333333333334,4.14789461530745,0.0
