Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd002ad1e0>/train_phase/train_stream/Task000/Exp009
0.9383,0.9087007972411811,0.1043,0.6325340787880123,0.1188,0.6148143061436713,0.0792,0.6123662856407464,0.072,0.622508772648871,0.0734,0.6199932512827218,0.0967,0.6191938482224941,0.0852,0.6169568710029125,0.1463,0.6133238608017564,0.0929,0.6139152999967337,0.18071,6.490102814044803,0.9422166666666667,3.8042013589292765,0.9422166666666667,3.8048988319933414,0.96875,0.001402433030307293,0.8449166666666666,7.013680130243301,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5762,0.650201897136867,0.9307,0.6206446499563754,0.0709,0.6133658597245812,0.1474,0.6149433557875454,0.0754,0.6146635613404214,0.0978,0.6167021552100778,0.1382,0.6178146032616496,0.0805,0.6173405558802187,0.0851,0.6143166162073612,0.0893,0.6148662837222219,0.22915,6.210217920131981,0.9422166666666667,3.8042013589292765,0.9334,4.056630172766745,0.84375,0.0018762806430459023,0.8284666666666667,6.886255435179919,0.0,2,0.9334,4.055910610128194,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.3942,0.636835043784231,0.7146,0.6272196667268872,0.9362,0.6148572019301355,0.165,0.6146583198569715,0.1069,0.8776543391868472,0.1191,0.6148255816660821,0.1301,0.6152840293943882,0.1343,0.61425806209445,0.1526,0.6136123309843242,0.0882,0.6162113538011909,0.29412,6.459693364799023,0.9422166666666667,3.8042013589292765,0.93705,3.697579985950142,0.90625,0.0013712318614125252,0.8222333333333334,6.900627577211708,0.0,3,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,,,,,,,,,,,,,,,,,,,,,
0.1394,0.6825613239780068,0.4852,0.6627833400852978,0.6664,0.7031100131571293,0.9353,0.6932002599351108,0.0651,0.7093287548050284,0.0942,0.8163309060037136,0.0991,0.8042666781693697,0.098,0.7978200921788812,0.0772,0.8444803897291422,0.0924,0.7736225421540439,0.27523,7.50235408404842,0.9422166666666667,3.8042013589292765,0.9360833333333334,4.03573893988505,0.8125,0.0009522759355604649,0.8112333333333334,6.782178172841668,0.0,4,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,,,,,,,,,,,,,,,,,,
0.1165,0.6313094990327954,0.301,0.6105780377984047,0.2957,0.6134079252369702,0.5121,0.6140575050376356,0.9215,0.6149492599070072,0.1226,0.6131498999893665,0.1364,0.615969005972147,0.1253,0.618288055062294,0.0945,0.6135743060149252,0.1102,0.6120337918400764,0.27358,6.173405929934233,0.9422166666666667,3.8042013589292765,0.9318,4.009930151049048,0.96875,0.0013289316557347775,0.8023333333333333,6.707801874727011,0.0,5,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,,,,,,,,,,,,,,,
0.1221,0.6313847787678242,0.0927,0.8732679085806012,0.1153,0.6111320550553501,0.3678,0.6130808470770717,0.4959,0.615362114738673,0.9228,0.6134685538709164,0.1357,0.6128204423002899,0.0628,0.6129176248796284,0.1321,0.6129704550839961,0.1073,0.6139012509956956,0.25545,6.425087843090296,0.9422166666666667,3.8042013589292765,0.92705,3.759609340224415,0.65625,0.001324100885540247,0.7692666666666667,6.798576808068901,0.0,6,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,0.92705,3.7589143882505596,0.0,,,,,,,,,,,,
0.0926,0.6243305611424148,0.1388,0.6014755936339498,0.1456,0.6056147031486034,0.198,0.6140959528274834,0.2584,0.6126983091235161,0.393,0.6116375508718193,0.8925,0.6101952777244151,0.0671,0.6098887431435287,0.1418,0.6099129733629525,0.1264,0.6108661680482328,0.24542,6.12403560988605,0.9422166666666667,3.8042013589292765,0.8887833333333334,3.9699765597470105,0.8125,0.0012865806929767132,0.7208,6.714718176983297,0.0,7,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,0.92705,3.7589143882505596,0.0,0.8887833333333334,3.969405199866742,0.0,,,,,,,,,
0.0729,0.6298902500420809,0.1167,0.6117431120947003,0.1613,0.6145003866404295,0.2408,0.6154604931361973,0.2227,0.6127603678032756,0.2736,0.6254857969470322,0.3146,0.6328956889919937,0.8825,0.6262555201537907,0.1174,0.627514480613172,0.1168,0.6187777472659945,0.25193,6.229579008650035,0.9422166666666667,3.8042013589292765,0.8850333333333333,3.9510224373079836,0.78125,0.0013184607960283756,0.71635,6.715171016287059,0.0,8,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,0.92705,3.7589143882505596,0.0,0.8887833333333334,3.969405199866742,0.0,0.8850333333333333,3.950559039134532,0.0,,,,,,
0.0908,0.89295803476125,0.1541,0.6124382908456028,0.158,0.6136622810736299,0.2477,0.6126412646844983,0.1799,0.6292090672068298,0.2326,0.6259751538746059,0.2736,0.6555211101658642,0.5125,0.6228288607671857,0.8731,0.6359189972281456,0.1146,0.6237959270365536,0.28369,6.540329872164875,0.9422166666666667,3.8042013589292765,0.8761666666666666,3.674605389125645,0.8125,0.0015914961695671082,0.6764666666666667,6.93737943097949,0.0,9,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,0.92705,3.7589143882505596,0.0,0.8887833333333334,3.969405199866742,0.0,0.8850333333333333,3.950559039134532,0.0,0.8761666666666666,3.674216373357922,0.0,,,
0.0732,0.6253899428993464,0.1073,0.612846736330539,0.0891,0.6126327230595052,0.1035,0.6193916131742299,0.1165,0.6167341507971287,0.1644,0.6188612151890993,0.1419,0.6274002748541534,0.1454,0.6252409699372947,0.3865,0.6326415720395744,0.8128,0.6251280279830098,0.21406,6.230822295881808,0.9422166666666667,3.8042013589292765,0.8162333333333334,3.9603049769066274,0.625,0.0016053770668804646,0.5949166666666666,6.757478443905711,0.0,10,0.9334,4.055910610128194,0.0,0.93705,3.6968807447701693,0.0,0.9360833333333334,4.035345603711903,0.0,0.9318,4.0089947851374745,0.0,0.92705,3.7589143882505596,0.0,0.8887833333333334,3.969405199866742,0.0,0.8850333333333333,3.950559039134532,0.0,0.8761666666666666,3.674216373357922,0.0,0.8162333333333334,3.9598560598678887,0.0
