Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7f60fb205540>/train_phase/train_stream/Task000/Exp009
0.9431,0.6698636639630422,0.1123,0.6512824380770326,0.1426,0.6535647879354656,0.0667,0.653170851059258,0.0994,0.9040149350184947,0.1197,0.6537040499970317,0.1384,0.6598850490991026,0.1002,0.6541499670129269,0.1762,0.6584478529402986,0.1233,0.6555546730523929,0.20219,6.829613141017035,0.9454166666666667,4.002207737998106,0.9454166666666667,4.002860210021026,0.875,0.001707529998384416,0.8250833333333333,8.460126108955592,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9276,0.6744357110001147,0.9399,0.6748369470005855,0.1071,0.6539151220349595,0.111,0.6547864159801975,0.1159,0.6519649870460853,0.1349,0.6526479079620913,0.1525,0.6546383739914745,0.0856,0.6504836899694055,0.1503,0.6507205049274489,0.0685,0.6538034089608118,0.27933,6.585715863038786,0.9454166666666667,4.002207737998106,0.94095,4.00160243595019,0.84375,0.0031283849384635687,0.8425833333333334,18.175977617967874,0.0,2,0.94095,4.000479607027955,4.728015615954064,,,,,,,,,,,,,,,,,,,,,,,,
0.9202,0.6662779239704832,0.9257,0.6482907090103254,0.9427,0.6484706120099872,0.1021,0.6471111479913816,0.0601,0.6483375900425017,0.0889,0.6503926150035113,0.1286,1.0490347229642794,0.0537,0.6461443110601977,0.1447,0.6493627779418603,0.0738,0.6654994790442288,0.34405,6.930240137968212,0.9454166666666667,4.002207737998106,0.94315,3.8928589388960972,0.96875,0.003195855999365449,0.8285,19.608895017998293,0.0,3,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,,,,,,,,,,,,,,,,,,,,,
0.9135,0.6703101909952238,0.9074,0.6481547530274838,0.9225,0.6520558319753036,0.9321,0.651511201984249,0.0662,0.6504888230701908,0.0909,0.6522134139668196,0.1024,0.6485205300850794,0.0838,0.6487665430177003,0.1107,0.6511644549900666,0.1252,0.6512021959060803,0.42547,6.5358502379385754,0.9454166666666667,4.002207737998106,0.9337166666666666,3.942871114006266,0.90625,0.0038274270482361317,0.81795,23.3749321680516,0.0,4,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,,,,,,,,,,,,,,,,,,
0.8916,0.6676238409709185,0.9034,0.6490624259458855,0.9038,0.6536820769542828,0.9114,0.6497714470606297,0.9214,0.650602133013308,0.1467,0.6522093400126323,0.1196,0.649665605975315,0.0782,0.8884803940309212,0.1458,0.6511021309997886,0.1408,0.6526759379776195,0.51627,6.776285360916518,0.9454166666666667,4.002207737998106,0.9245,3.886813643039204,0.78125,0.004755132948048413,0.8068666666666666,24.394000544096343,0.0,5,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,,,,,,,,,,,,,,,
0.8816,0.6672851899638772,0.8882,0.6470735180191696,0.893,0.6468378029530868,0.9031,0.6476582969771698,0.9066,0.6433518620906398,0.9242,0.6457897940417752,0.1292,0.6441563259577379,0.0996,0.6439726520329714,0.1486,0.6445612629177049,0.1318,0.6458990160608664,0.59059,6.488366736914031,0.9454166666666667,4.002207737998106,0.9286333333333333,3.922806999995373,0.78125,0.007232427014969289,0.80085,30.762291796971112,0.0,6,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,0.9286333333333333,3.922182708978653,5.003623129683547,,,,,,,,,,,,
0.8724,0.6715924219461158,0.873,0.6608549649827182,0.8748,0.6463686609640718,0.8865,0.6568686150712892,0.8872,0.6530347570078447,0.9041,0.6627592981094494,0.9204,0.6584658520296216,0.1047,0.6531122489832342,0.1283,0.6488343839300796,0.1012,0.8946536519797519,0.65526,6.820998826064169,0.9454166666666667,4.002207737998106,0.9213166666666667,3.9458589899586514,0.90625,0.0070966139901429415,0.78995,36.22907175810542,0.0,7,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,0.9286333333333333,3.922182708978653,5.003623129683547,0.9213166666666667,3.9452265090076253,5.0028144950047135,,,,,,,,,
0.8667,0.665210327017121,0.8745,0.6512498219963163,0.8648,0.6510616490850225,0.8821,0.6509791880380362,0.8753,0.6535201818915084,0.8884,0.6467867449391633,0.9052,0.6430576399434358,0.9194,0.6436338200001046,0.1487,0.6589384470134974,0.0953,0.6469674879917875,0.73204,6.52374716300983,0.9454166666666667,4.002207737998106,0.9229166666666667,3.9336524739628658,0.8125,0.008659971063025296,0.76745,40.76412310905289,0.0,8,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,0.9286333333333333,3.922182708978653,5.003623129683547,0.9213166666666667,3.9452265090076253,5.0028144950047135,0.9229166666666667,3.9330166130093858,6.293119294685312,,,,,,
0.8533,0.6626967779593542,0.8621,0.6461575709981844,0.8531,0.6507313010515645,0.8636,0.6490014200098813,0.8584,0.6456823520129547,0.8734,0.6458998959278688,0.8895,0.6474324419395998,0.8914,0.6482116560218856,0.9069,0.6478389099938795,0.1025,0.6468809220241383,0.79542,6.501764083979651,0.9454166666666667,4.002207737998106,0.90425,4.141106258961372,0.8125,0.007134885061532259,0.75535,41.68078413105104,0.0,9,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,0.9286333333333333,3.922182708978653,5.003623129683547,0.9213166666666667,3.9452265090076253,5.0028144950047135,0.9229166666666667,3.9330166130093858,6.293119294685312,0.90425,4.140489307930693,5.216447869781405,,,
0.8431,0.6778075399342924,0.857,0.6585282440064475,0.849,0.6584481819299981,0.8638,0.6502835189457983,0.8538,0.6564789679832757,0.8674,0.655755095067434,0.8785,0.6513075969414786,0.8831,0.6522469330811873,0.901,0.6572747019818053,0.9196,0.6631669939961284,0.87163,6.593380173086189,0.9454166666666667,4.002207737998106,0.9213333333333333,3.9516728000016883,0.84375,0.007853907998651266,0.7496166666666667,47.034899648977444,0.0,10,0.94095,4.000479607027955,4.728015615954064,0.94315,3.892290619085543,3.033236611983739,0.9337166666666666,3.942329514073208,3.932194506051019,0.9245,3.8862545819720253,3.076033894205466,0.9286333333333333,3.922182708978653,5.003623129683547,0.9213166666666667,3.9452265090076253,5.0028144950047135,0.9229166666666667,3.9330166130093858,6.293119294685312,0.90425,4.140489307930693,5.216447869781405,0.9213333333333333,3.9511212500510737,6.121072052628733
